employer,n_rows,status,old_address,old_state,new_address,new_state,donor_states
RABIN WORLDWIDE,4,corrected,"38777 Seven Mile Road, Suite 600, Livonia, MI",MI,"21 Locust Avenue, Suite 2A",CA,CA:4
PROFESSIONAL GROUP PLANS,4,corrected,"400 Plaza Drive, Secaucus, NJ",NJ,"225 Wireless Blvd, Suite 200",NY,NY:4
RECHT KORNFELD,4,corrected,"2361 Rosecrans Ave., Ste. 475, El Segundo, CA",CA,"1600 Stout Street, Suite 1400",CO,CO:4
PSG,4,unknown,18 Columbia Turnpike,NJ,,,TX:2; MD:1; FL:1
RHEUMATOLOGY CONSULTANTS,4,corrected,"1500 E Medical Center Dr, Ann Arbor, MI",MI,1351 Main St,MA,MA:4
RENALOGIC,4,corrected,"4600 Marriott Dr, Suite 700, Burlington, MA",MA,"223 W Jackson Blvd, Suite 604",IL,IL:4
RILEY SAFER,4,corrected,"1979 Marcus Avenue, Suite 210, Lake Success, NY",NY,"1 South Dearborn Street, Suite 2200",IL,IL:4
REVEDGE ANALYTICS,4,unknown,201 Mission St,CA,,,GA:4
RIVKIN CENTER FOR OVARIAN CANCER,4,corrected,"50 West 168th Street, Suite 4-48, New York, NY",NY,"1200 12th Ave S, Suite 1110",WA,WA:4
SOUTHEASTERN GROCERS,4,confirmed,380 E Jackson Street,FL,,,NH:4
ROSEWOOD,4,confirmed,2828 N. Harwood St.,TX,,,NJ:2; NY:2
SOUTH OCEAN CAPITAL PARTNERS,4,corrected,"250 West 57th Street, New York, NY",NY,"401 E Las Olas Blvd, Suite 2220",FL,CT:4
SEQUENTIAL BRANDS,4,corrected,"100 Christie, Suite 400, Santa Cruz, CA",CA,"1407 Broadway, 38th Floor",NY,NY:4
STREAM CAPITAL PARTNERS,4,corrected,"100 Lafayette St, Floor 5, New York, NY",NY,"4201 West Irving Park Road, Suite 200",IL,IL:4
TEMPLE BETH SHOLOM,4,unknown,4144 Chase Ave,FL,,,NJ:3; KS:1
TM ASSOCIATES,4,corrected,"400 Atlantic Ave, Boston, MA",MA,1375 Piccard Dr Suite 375,MD,MD:4
THE NANZ COMPANY,4,corrected,"5405 North 128th St, Brookfield, WI",WI,"121 Varick Street, 10th Floor",NY,NY:4
TRUISLENDING,4,confirmed,214 N Tryon St,NC,,,MD:4
TRUXTON TRUST COMPANY,4,corrected,"901 S MoPac Expy, Building 3, Suite 100, Austin, TX",TX,"20 Burton Hills Blvd, Suite 200",TN,TN:4
WEBSTER LOCK CO,4,corrected,"1 Webster Way, Temple,, GA",GA,2471 Webster Avenue,NY,CT:2; NY:2
SPARE,4,corrected,"124 W 30th St, New York, NY",NY,750 N San Vicente Blvd,CA,NJ:4
WEIGHTWATCHERS,4,confirmed,477 5th Ave,NY,,,NJ:4
WEDGEWOOD PHARMACY,4,confirmed,405 Heron Dr,NJ,,,AZ:4
WINDELS MARX,4,confirmed,1201 RXR Plaza,NY,,,CT:4
WAND AI,4,confirmed,2415 Michigan Ave,CA,,,FL:4
WINSHIP WEALTH,4,corrected,"2 Canal Park Drive, Suite 700, Portland, ME",ME,23 Ross Common,CA,CA:4
WOODLINE PARTNERS,4,corrected,"1001 4th Ave, Suite 3200, Seattle, WA",WA,4 Embarcadero Center Suite 3450,CA,NY:4
WITHEY MORRIS BAUGH,4,corrected,"5 Greentree Centre, Suite 200, Marlton, NJ",NJ,2121 E Highland Ave,AZ,AZ:4
WOLFE RESEARCH,4,corrected,"222 North LaSalle Street, Suite 300, Chicago, IL",IL,"757 Third Avenue, 6th Floor",NY,NJ:4
ALLEGAERT BERGER & VOGEL LLP,4,corrected,"1100 County Road B West, Suite 200, Roseville, MN",MN,"111 Broadway, 20th Floor",NY,NY:4
TEMPLE EMANUEL,4,unknown,1 E 65th St,NY,,,TX:2; CA:1; NJ:1
WOODCREST SCHOOLS,4,corrected,"71 West Lancaster Avenue, Radnor, PA",PA,6043 Tampa Ave,CA,CA:4
ADEMCO INC,4,corrected,"1395 University Boulevard West, Salisbury, MD",MD,"2 Corporate Center Drive, Suite 100",NY,FL:4
"CHALKER FLORES, LLP",4,corrected,"555 Montgomery Street, Suite 1206, San Francisco, CA",CA,"14841 North Dallas Parkway, Suite 575",TX,TX:4
ASF WINES LLC,4,corrected,"4600 Lang Ave, Suite 100, Napa, CA",CA,68 Clover Drive,NY,NY:4
ASPHALT ANCHORS CORP,4,corrected,"385 Oakmead Parkway, Suite 20, Sunnyvale, CA",CA,10 Ridge Road,NJ,NJ:4
EISNER LLP,4,confirmed,"2600 Michelson Dr, Suite 1000",CA,,,NY:4
ESSEX TITLE LLC,4,corrected,"75 Columbia Street, Suite 200, Morristown, NJ",NJ,"29777 Telegraph Rd, Suite 1170",MI,MI:4
FLAX & ASSOCIATES,4,corrected,"1500 Broadway, 16th Floor, New York, NY",NY,"3835 NW Boca Raton Blvd, Suite 200",FL,FL:4
FRIEDMAN LLP,4,confirmed,"1633 Broadway, 46th Floor",NY,,,PA:4
DIGITAL GADGETS LLC,4,corrected,"110 Meadowlands Pkwy Suite 100, Secaucus, NJ",NJ,244 East 58th Street,NY,NY:4
GALIUM CAPITAL LLC,4,corrected,"220 W Colfax Ave, Suite 700, Denver, CO",CO,"3323 NE 163rd St, Suite 508",FL,FL:4
JORDAN RAMIS PC,4,corrected,"1201 Third Avenue, Suite 3200, Seattle, WA",WA,"1211 SW 5th Ave, Ste 2700 (PacWest, 27th Floor)",OR,OR:4
GHB CAPITAL LLC,4,corrected,"100 Crescent Court, Suite 700, Dallas, TX",TX,805 Wilmot Rd,NY,NY:4
LABOVICK & LABOVICK,4,corrected,"1000 N. West Street, Suite 1200, Wilmington, DE",DE,"5220 Hood Road, Suite 200",FL,FL:4
LIEBERMAN BLECHER & SINKEVICH,4,corrected,"667 Madison Ave, 6th Floor, New York, NY",NY,"10 Jefferson Plaza, Suite 400",NJ,NJ:4
P&R FASTENERS,4,corrected,"1000 Wabash Ave, Springfield, IL",IL,325 Pierce Street,NJ,NJ:4
LAW OFFICES OF ELLYN BANK DUGOW PC,4,corrected,"2650 Avenue of the Stars, Suite 1750, Los Angeles, CA",CA,2 Park Avenue,NY,FL:4
WILLIAMS & CONNOLLY LLC,4,confirmed,"725 Twelfth Street, N.W.",DC,,,MD:4
FORD MOTOR COMPANY,4,confirmed,1 American Rd,MI,,,GA:4
SKOPOS LABS INC,4,corrected,"255 California Ave, Palo Alto, CA",CA,34 Colonial Dr,NY,NY:4
WYATT TARRANT AND COMBS,4,corrected,"2525 McKinnon Street, Suite 700, Dallas, TX",TX,"400 West Market Street, Suite 2000",KY,KY:4
TOWNSQUARE,4,corrected,"250 Peachtree Street NW, Suite 2200, Atlanta, GA",GA,"One Manhattanville Road, Suite 202",NY,NY:4
MKDA ARCHITECTURE,4,corrected,"2701 Millrace Dr, Cincinnati, OH",OH,"902 Broadway, 17th Floor",NY,FL:4
SAADIA GROUP,4,corrected,"10940 Wilshire Blvd, Los Angeles, CA",CA,275 Madison Ave,NY,NY:4
MERIDIAN,4,unknown,"2750 E Cotton Center Blvd, Suite 112",AZ,,,NY:2; MD:2
IBEX MEDICAL ANALYTICS (ISRAEL),4,confirmed,5 Walnut St,MA,,,OH:4
D&H,4,confirmed,350 Highland Drive,PA,,,FL:4
SOUTHWEST MOUNTAIN STATES COUNCIL OF CARPENTERS,4,corrected,"575 S Randall Rd, Suite 200, St. George, UT",UT,911 20th St,CA,CA:4
BITDEFENDER INC,4,corrected,"114 W 26th St 9th Floor, New York, NY",NY,"6301 NW 5th Way, Suite 4300",FL,CA:4
APG ASSET MANAGEMENT US INC,4,corrected,"600 CALIFORNIA ST 12TH FL, SAN FRANCISCO, CA",CA,"666 Third Avenue, 2nd Floor",NY,NY:4
FORTITUDE RE,4,corrected,"1111 Brickell Avenue, Miami, FL",FL,"10 Exchange Place, Suite 2210",NJ,MA:3; NY:1
HOME EXPRESSIONS INC,4,corrected,"7625 Dean Martin Dr, Las Vegas, NV",NV,195 Raritan Center Parkway,NJ,NJ:4
"HANGLEY ARONCHICK SEGAL PUDLIN & SCHILLER, P.C",4,confirmed,"One Logan Square, 27th Floor",PA,,,FL:4
"MAYERS ELECTRIC CO., INC",4,corrected,"2712 S 32nd St, Tacoma, WA",WA,4004 Erie Court,OH,OH:4
"WOLF, RIFKIN, ET AL",4,corrected,"3556 E Russell Road, Suite 200, Las Vegas, NV",NV,"11400 West Olympic Boulevard, Ninth Floor",CA,CA:4
ICOS INC,4,unknown,10425 Science Center Dr,CA,,,NJ:4
MSBD CAPITAL MANAGEMENT CORP,4,corrected,"470 Park Avenue South, New York, NY",NY,725 Redwood Ln,IL,IL:4
ADT,3,confirmed,"1501 Yamato Road, Suite 100",FL,,,NC:3
ADAMS BEVERAGES,3,corrected,"2755 Wellington Ct, Fairfield, OH",OH,7505 Statesville Road,NC,NC:3
ADVENTIST,3,confirmed,12501 Old Columbia Pike,MD,,,OR:3
ADVOCATE RADIATION,3,corrected,"One Advocate Plaza, Downers Grove, IL",IL,3080 Harbor Blvd,FL,FL:3
ADVECTION GROWTH CAPITAL,3,corrected,"50 North Main Street, Staunton, VA",VA,"320 Park Avenue, Floor 22",NY,CT:3
ALTRIA,3,confirmed,6601 West Broad Street,VA,,,MA:3
ALLEGIANCE STAFFING,3,corrected,"5201 Congress Avenue, Suite 150, Boca Raton, FL",FL,5726 Root Rd,TX,WA:3
AKF PROPERTIES,3,corrected,"100 Broadway, New York, NY",NY,6936 Sunflower Ln,PA,CA:3
AMHERST,3,corrected,"300 Tri-State International, Suite 400, Lincolnshire, IL",IL,"401 Congress Ave, 33rd Floor",TX,NC:3
ANGIOLOGY CORPORATION OF AMERICA,3,corrected,"2700 North 2nd Street, Suite 300, Harrisburg, PA",PA,6986 Clarksville Pike,TN,FL:3
ARCOS COMMUNICATIONS,3,corrected,"401 S Tryon St Suite 3000, Charlotte, NC",NC,341 W 38th St Fl 12,NY,NY:3
ARDELYX,3,corrected,"6601 Owens Dr, Pleasanton, CA",CA,"400 Fifth Avenue, Suite 210",MA,FL:2; MA:1
AUGUSTA PRECIOUS METALS,3,corrected,"1911 S Interstate 35 Frontage Rd, Austin, TX",TX,5830 East 2nd Street,WY,CA:3
AXIA HOME LOANS,3,corrected,"2680 E Main St, Tucson, AZ",AZ,"3009 112th Ave NE, Suite 200",WA,NY:2; WA:1
AXCEL PARTNERS,3,corrected,"1001 N West St, Suite 1200, Wilmington, DE",DE,10955 Nacirema Lane,MD,FL:3
BALFOUR,3,corrected,"1311 Mamaroneck Avenue, Suite 301, White Plains, NY",NY,7211 Circle S Rd,TX,GA:3
"BANK OF NEW YORK MELLON, NA",3,confirmed,240 Greenwich Street,NY,,,PA:3
BELDON ROOFING COMPANY,3,corrected,"14500 E 33rd Ave, Aurora, CO",CO,5039 West Avenue,TX,TX:3
BLACK DIAMOND GOURMET,3,corrected,"1629 Pearl Street, Boulder, CO",CO,1581 McDonald Ave,NY,NY:3
BRIDGE INVESTMENT GROUP,3,corrected,"600 Anton Boulevard, Suite 2000, Costa Mesa, CA",CA,"111 East Sego Lily Drive, Suite 400",UT,NC:3
CAMPUS APARTMENTS,3,corrected,"111 East Worthington Avenue, Columbus, OH",OH,4043 Walnut Street,PA,PA:3
CHABAD,3,confirmed,770 Eastern Pkwy,NY,,,UT:1; TX:1; CA:1
CENTRA HEALTH,3,confirmed,1401 Wicker Drive,VA,,,NC:3
BUCKINGHAM CAPITAL MANAGEMENT,3,corrected,"100 West Monument Street, Suite 300, Baltimore, MD",MD,"485 Lexington Avenue, 3rd Floor",NY,NY:3
CES,3,corrected,"1100 Pennsylvania Avenue NW, Washington, DC",DC,40 Lindeman Drive,CT,CT:3
CHEQ.AI,3,corrected,"1001 Broadway, Oakland, CA",CA,"22 W 19th St, 9th Fl",NY,NY:3
CHANNEL FACTORY,3,corrected,"1 E 29th St, 8th Floor, New York, NY",NY,17700 Castleton Street Suite 406,CA,FL:3
CHICOS FAS,3,corrected,"2525 East Camelback Road, Suite 1100, Phoenix, AZ",AZ,11215 Metro Parkway,FL,CA:3
CANYONMD,3,corrected,"6410 S Fiddlers Green Cir, Suite 400, Greenwood Village, CO",CO,347 5th Ave,NY,CA:3
COOPER UNIVERSITY HOSPITAL,3,confirmed,1 Cooper Plaza,NJ,,,PA:3
CORTEC GROUP,3,corrected,"7580 Commercial Way, Brooklyn Park, MN",MN,"140 East 45th Street, 43rd Floor",NY,NY:3
COURTALERT,3,corrected,"1500 Sunday Dr, Suite 102B, Raleigh, NC",NC,"141 West 36th Street, 20N",NY,NY:3
CLEARLYDERM,3,corrected,"2 Bridge Ave, Red Bank, NJ",NJ,"33 East 33rd Street, 12th Floor",NY,FL:3
COMMON STRATEGIC CAPITAL,3,unknown,"555 West 5th Street, 35th Floor",CA,,,NY:3
CSC PROPERTIES,3,corrected,"251 Little Falls Drive, Wilmington, DE",DE,"5795 Ulmerton Road, Suite 200",FL,FL:2; VA:1
CORO GROUP,3,unknown,250 Park Avenue South,NY,,,TX:3
DICKINSON WRIGHT,3,confirmed,"500 Woodward Ave, Suite 4000",MI,,,FL:3
DICKS SPORTING GOODS,3,confirmed,345 Court Street,PA,,,NY:3
DOLLARTREE,3,confirmed,500 Volvo Parkway,VA,,,SD:3
CUMMING GROUP,3,corrected,"3 Lagoon Drive, Suite 201, Beverly, MA",MA,"151 West 42nd Street, 12th Floor",NY,CA:3
DATAIKU,3,corrected,"350 Rhode Island St, Suite 400, San Francisco, CA",CA,"902 Broadway, 8th Floor",NY,NY:3
DUANE MORRIS,3,confirmed,30 S 17th Street,PA,,,FL:2; IL:1
EMERGENT MEDICAL ASSOCIATES,3,corrected,"3030 Westchester Ave Suite 205, Purchase, NY",NY,"898 N. Pacific Coast Highway, Suite 600",CA,CA:3
EDELSTEIN PUBLIC AFFAIRS,3,corrected,"45 Rockefeller Plaza, 20th Floor, New York, NY",NY,6417 Thornhill Dr,CA,CA:3
ENFINITY GLOBAL,3,corrected,"16435 Addison Road, Suite 200, Addison, TX",TX,"501 Brickell Key Drive, Suite 302",FL,CT:3
ECHO RIVER CAPITAL,3,corrected,"One Pennsylvania Plaza, 36th Floor, New York, NY",NY,1550 Tiburon Blvd Ste G #313,CA,CA:3
ESJ CAPITAL PARTNERS,3,corrected,"600 Lexington Avenue, 30th Floor, New York, NY",NY,"19950 West Country Club Drive, Suite 800",FL,FL:3
FAIRFIELD PROPERTIES,3,corrected,"13045 Morris Rd, Suite 120, Alpharetta, GA",GA,"538 Broadhollow Road, Third Floor East",NY,NY:3
ENVISION HEALTHCARE,3,unknown,"601 13th Street NW, Suite 300N",DC,,,FL:3
FAIRLEAD,3,corrected,"500 Airport Blvd, Suite 200, Burlingame, CA",CA,650 Chautauqua Avenue,VA,VA:3
EYE PHYSICIANS AND SURGEONS,3,corrected,"1801 N Florida Ave, Tampa, FL",FL,1207 N Scott St,DE,DE:3
EYE PHYSICIANS OF OC,3,corrected,"3301 Hyland Ave, Costa Mesa, CA",CA,"1 Hatfield Lane, Ste 3",NY,NY:3
FEDERAL EQUIPMENT CO,3,corrected,"3250 NE 5th St, Des Moines, IA",IA,8200 Bessemer Ave,OH,OH:3
GAINSIGHT,3,confirmed,"5 3rd Street, 2nd Floor",CA,,,IN:3
FRIEDMAN REAL ESTATE,3,corrected,"399 Park Ave, 29th Floor, New York, NY",NY,34975 West Twelve Mile Rd,MI,MI:3
FORD,3,confirmed,"World Headquarters, 1 American Rd",MI,,,WA:3
GALLO VITUCCI KLAR,3,corrected,"100 Willowbrook Boulevard, Suite 100, Wayne, NJ",NJ,"711 Third Avenue, Suite 500",NY,NY:3
GUARDIAN DENTISTRY PARTNERS,3,corrected,"2600 Skymark Avenue, Suite 100, Hawthorne, CA",CA,"5803 NW 151st Street, Suite 201",FL,FL:2; MI:1
GUMENICK PROPERTIES,3,corrected,"225 W. Washington Street, Suite 1600, Chicago, IL",IL,"4901 Libbie Mill East Boulevard, Suite 200",VA,FL:2; VA:1
HIGHLAND BAKING COMPANY,3,corrected,"4300 Winona Avenue, Los Angeles, CA",CA,2301 Shermer Rd,IL,IL:3
HEIGHTS ADVISORS,3,corrected,"271 Waverley Oaks Rd, Suite 200, Waltham, MA",MA,"140 Remsen Street, 2nd Fl",NY,PA:3
GS HOLDINGS,3,unknown,200 West Street,NY,,,CA:3
HALO BRANDED SOLUTIONS,3,confirmed,"1001 Warrenville Road, Suite 100",IL,,,NY:3
HILLSPIRE,3,corrected,"4000 Pheasant Ridge Dr, Dublin, OH",OH,1010 Alma St,CA,CA:3
INTERDESIGN,3,corrected,"800 West Fullerton Avenue, Suite 200, Chicago, IL",IL,30725 Solon Industrial Parkway,OH,OH:3
IKO INDUSTRIES,3,corrected,"2000 Riveredge Parkway, Atlanta, GA",GA,6 Denny Rd Ste 200,DE,WA:3
IC CONSTRUCTION,3,corrected,"2655 First Street, Suite 200, Snohomish, WA",WA,488 Cumberland St,NJ,NJ:3
INTERMOUNTAIN CHILDREN'S HOME,3,corrected,"PO Box 1726, Ogden, UT",UT,3240 Dredge Drive,MT,MT:3
INTERNATIONAL INTIMATES,3,corrected,"400 West Civic Center Drive, Muncie, IN",IN,31 W 34th St 9th Floor,NY,NJ:3
INFOSEC LABS,3,unknown,525 Washington Blvd,NJ,,,TX:3
INTRALINKS,3,corrected,"3000 El Camino Real, Bldg 5, Palo Alto, CA",CA,"10 CityPoint, 500 Totten Pond Road, 2nd Floor",MA,MA:3
JACKOWAY AUSTEN,3,corrected,"6166 Warren Parkway, Suite 200, Frisco, TX",TX,"1925 Century Park East, 22nd Floor",CA,CA:3
KAJEET,3,confirmed,"1791 Preuss Rd, Suite 650",VA,,,PA:3
KCM,3,confirmed,"525 West Monroe Street, 19th Floor",IL,,,TX:3
"KANE AND KOLTUN, ATTORNEYS AT LAW",3,corrected,"121 S. Broad Street, Suite 400, Philadelphia, PA",PA,"150 Spartan Drive, Suite 100",FL,FL:3
JAMAICA HOSPITAL MEDICAL CENTER,3,confirmed,89-01 Parsons Boulevard,NY,,,NJ:3
LANE ENTERPRISES,3,corrected,"845 Commerce Dr, Chattanooga, TN",TN,"275 Grandview Ave, Suite 300",PA,FL:3
KOTEL PARTNERS,3,corrected,"55 West 46th Street, 17th Floor, New York, NY",NY,"4849 Rugby Ave, 1st Floor",MD,FL:3
IRONGATE,3,unknown,"4211 Wilshire Boulevard, Suite 600",CA,,,TX:3
LANX PARTNERS,3,confirmed,"104 West 40th Street, Floor 19",NY,,,MD:3
LAZ PARKING,3,corrected,"10 North Dearborn Street, Suite 1800, Chicago, IL",IL,"755 Main Street, 14th Floor",CT,CT:3
KLEINPARTNERS,3,corrected,"315 West 36th Street, New York, NY",NY,400 Continental Blvd Ste 600,CA,CA:3
LIVEGAGE,3,corrected,"701 Brazos Street, Austin, TX",TX,"101 Crawfords Corner Rd., Ste. 4116",NJ,NJ:3
LIGHTHOUSE DENTAL CARE,3,corrected,"2801 E Commercial Blvd, Fort Lauderdale, FL",FL,88 Ryders Ln,CT,CT:3
LEVATA,3,corrected,"2000 West Loop South, Suite 1200, Houston, TX",TX,"200 W Monroe St, 23rd Floor",IL,IL:3
LINKER EQUIPMENT,3,corrected,"1600 Oakmont Ct, Wheeling, IL",IL,5 Evans Terminal Rd,NJ,NJ:3
LW HOSPITALITY ADVISORS,3,corrected,"1601 4th Ave, Suite 500, Seattle, WA",WA,"200 West 41st Street, Suite 602",NY,NY:2; NJ:1
MAGIC COTTAGE PRESCHOOL,3,corrected,"1500 Main Street, Waltham, MA",MA,1427 11th Ave,CA,CA:3
MARKETRESEARCH.COM,3,corrected,"3000 Ocean Park Blvd, Suite 1200, Santa Monica, CA",CA,"6116 Executive Blvd, Suite 550",MD,MD:3
LMR ADVISORS,3,corrected,"930 15th Street NW, Suite 600, Washington, DC",DC,1841 W Mercer Way,WA,WA:3
MENDELSON LAW FIRM,3,corrected,"40 Worth St Suite 1100, New York, NY",NY,799 Estate Place,TN,TN:3
MAGELLAN MIDSTREAM PARTNERS,3,corrected,"1001 Louisiana St, Suite 1000, Houston, TX",TX,"One Williams Center, 101 E 2nd Street",OK,OK:3
MCO,3,unknown,3400 South West 145th Avenue,FL,,,PA:2; NJ:1
MERCHSOURCE,3,corrected,"5201 Congress Ave, Suite 1010, Boca Raton, FL",FL,7755 Irvine Center Drive Suite 100,CA,CA:3
MASCOT RECORDS,3,corrected,"3333 E Camelback Rd Suite 600, Phoenix, AZ",AZ,118 E 28th St Suite 701,NY,NY:3
MOMENTUM UNLIMITED,3,corrected,"122 E 42nd St, 18th Floor, New York, NY",NY,"6101 Executive Blvd, Suite 385",MD,MD:3
MILLENNIUM CAPITAL MANAGEMENT,3,corrected,"200 Clarendon Street, 51st Floor, Boston, MA",MA,399 Park Avenue,NY,NY:3
MOTOROLA SOLUTIONS,3,confirmed,500 West Monroe Street,IL,,,NY:3
MILLENNIUM HEALTHCARE,3,corrected,"340 Pine St, San Francisco, CA",CA,"445 Broad Hollow Road, Suite 25",NY,NJ:3
MORGAN LANGUAGE SERVICES,3,corrected,"1321 Shaws Cove Rd, New London, CT",CT,11515 Gauguin Ln,MD,MD:3
MOVADO GROUP,3,corrected,"6505 Paseo Del Norte, Carlsbad, CA",CA,"650 From Road, Ste. 375",NJ,NY:3
MINDSPRING ASSOCIATES,3,corrected,"5262 W 109th St, Overland Park, KS",KS,49 Granite Street,NY,NY:3
NATIONAL LUMBER COMPANY,3,corrected,"401 S 2nd St, Nashville, TN",TN,4901 Pulaski Highway,MD,MD:3
NOVA CONSULTING,3,corrected,"60 State Street, Boston, MA",MA,10486 NW 31st Terrace,FL,CA:2; FL:1
NUVEEN,3,confirmed,"333 West Wacker Drive, Suite 2700",IL,,,NY:3
MOUNTAIN CAPITAL PARTNERS,3,corrected,"300 E Main Street, Suite 100, Boise, ID",ID,11726 San Vicente Blvd Suite 414,CA,CA:3
NIGHTHAWK,3,corrected,"1209 Orange St, Wilmington, DE",DE,"6898 N Camino Martin, Ste. 120",AZ,AZ:3
ODELL STUDNER GROUP,3,corrected,"3900 University Dr, Suite 106, Fairfax, VA",VA,"200 North Warner Road, Suite 450",PA,PA:2; FL:1
OHDELA,3,corrected,"15950 Dallas Pkwy, Suite 200, Addison, TX",TX,"1550 Old Henderson Road, Suite W-110",OH,OH:3
ORVA,3,corrected,"1600 West 2200 South, Suite 250, West Valley City, UT",UT,"88 Pine Street, Floor 26, Wall Street Plaza",NY,NY:3
ORTHODOX UNION,3,confirmed,305 Seventh Avenue,NY,,,NJ:3
OTGP,3,corrected,"18 West 33rd Street, Suite 901, New York, NY",NY,"400 Meadowmont Village Circle, Suite 421",NC,NC:3
PAN AM EQUITIES,3,corrected,"555 W 5th St, 51st Floor, Los Angeles, CA",CA,"18 East 50th Street, 3rd Floor",NY,NY:3
PARK HILL,3,corrected,"1551 N Tustin Ave, Ste 400, Santa Ana, CA",CA,"280 Park Avenue, 15th Floor",NY,NY:3
PAYJOY,3,confirmed,"26 South Park, Suite 300",CA,,,AZ:3
PEACHTREE PARTNERS,3,corrected,"3525 Piedmont Rd NE, Building 5, Suite 300, Atlanta, GA",GA,"1819 E Morten Ave, Ste 180",AZ,AZ:3
PARKVIEW CAPITAL PARTNERS,3,corrected,"5335 Wisconsin Ave NW, Suite 440, Washington, DC",DC,160 Pearl Street,NY,FL:3
PHILIPS,3,confirmed,3000 Minuteman Road,MA,,,TX:3
PORTAGE TECHNOLOGIES,3,corrected,"1133 3rd Ave, King of Prussia, PA",PA,"10 East 53rd Street, 18th Floor",NY,NY:3
PROCORE,3,confirmed,"6309 Carpinteria Avenue, Suite 100",CA,,,FL:3
RADIOLOGY PARTNERS,3,corrected,"5100 E Skelly Dr, Suite 290, Tulsa, OK",OK,12554 Riata Vista Circle,TX,FL:1; NY:1; TX:1
PRIMUS CONSULTING,3,corrected,"2 Logue Court, Cranston, RI",RI,8000 Towers Crescent Dr,VA,OH:3
REALTY EXECUTIVES,3,corrected,"15551 W. 109th St., Ste. 100, Olathe, KS",KS,"8324 E Hartford Dr, Ste 100",AZ,AZ:3
PROVATION,3,corrected,"One Harborfront Place, Suite 500, Wilmington, DE",DE,"533 South Third Street, Suite 300",MN,FL:2; IL:1
PRINCE CHEMICAL,3,corrected,"3600 West 76th Street, Richfield, MN",MN,P.O. Box 672077,GA,GA:3
REINGOLD,3,corrected,"1233 20th Street NW, Suite 700, Washington, DC",DC,1321 Duke St.,VA,VA:3
RICH YOUNG COMPANY,3,corrected,"201 West Big Beaver Road, Suite 500, Troy, MI",MI,"5710 Lyndon B. Johnson Fwy, Suite 150",TX,TX:3
RHYTHM MANAGEMENT GROUP,3,corrected,"3000 Old Ranch Pkwy, Seal Beach, CA",CA,"6116 Executive Blvd, Ste 670",MD,TX:3
RIVERSTONE,3,confirmed,"520 Madison Avenue, 39th Floor",NY,,,MI:3
RMC PROPERTY GROUP,3,corrected,"1209 Orange Street, Wilmington, DE",DE,"8902 N Dale Mabry Hwy, Suite 200",FL,FL:3
RETINAL CONSULTANTS OF AMERICA,3,confirmed,"7000 Fannin St, Suite 1400",TX,,,NY:3
RUBBER RING FILMS,3,corrected,"100 Nutmeg Road, Hampton, NH",NH,3100 Donald Douglas Loop North #203-A,CA,CA:3
RUDNER LAW OFFICES,3,corrected,"304 Lighthouse Ave, Pacific Grove, CA",CA,"5001 Spring Valley Road, Suite 225E",TX,TX:3
ROOMS TO GO,3,confirmed,340 Royal Palm Way,FL,,,GA:3
RSS CAPITAL,3,corrected,"200 Clarendon St, Boston, MA",MA,1100 S Northlake Drive,FL,NJ:2; FL:1
SBNY,3,confirmed,565 5th Ave,NY,,,FL:3
SELTZER CAPLAN,3,corrected,"222 2nd Ave S, Suite 400, Nashville, TN",TN,"750 B Street, Suite 2100",CA,CA:3
RUBENSTEIN CAPITAL,3,corrected,"225 W 34th St, 7th Floor, New York, NY",NY,480 3rd Street,CA,CA:2; GA:1
SAUL EWING,3,corrected,"1200 North Broom Street, Wilmington, DE",DE,1735 Market Street Suite 3400,PA,MA:2; IL:1
SG360,3,corrected,"3801 N. Fairfax Drive, Suite 100, Arlington, VA",VA,1351 S. Wheeling Rd,IL,IL:2; NY:1
SCHWEIGER DERMATOLOGY,3,corrected,"30 Moulton Street, Medford, MA",MA,"110 East 55th Street, 14th Floor",NY,NJ:3
SHANNON FABRICS,3,corrected,"1701 N. 33rd St., Richmond, VA",VA,3131 South Alameda Street,CA,CA:3
SERMONIX PHARMACEUTICALS,3,corrected,"1100 Corporate Dr, Suite 100, Eagan, MN",MN,250 East Broad Street Suite 250,OH,OH:3
SIMON WIESENTHAL CENTER,3,confirmed,9760 West Pico Boulevard,CA,,,IL:3
SIX FLAGS ENTERTAINMENT,3,corrected,"1 Six Flags Drive, Arlington, TX",TX,8701 Red Oak Boulevard,NC,NY:3
SIS ARCHITECTS,3,unknown,725 B Street,CA,,,NJ:3
SOCIAL MEDIA VICTIMS LAW CENTER,3,corrected,"P.O. Box 1254, Cedarhurst, NY",NY,600 1st Avenue Suite 102-PMB 2383,WA,WA:3
SOUTHGATE MEDICAL GROUP,3,corrected,"15367 Hedding Street, San Jose, CA",CA,1026 Union Rd,NY,NY:3
SHANNON RUSSO INTERIORS,3,unknown,"45 West 27th St, 6th Fl",NY,,,NJ:3
SJP RESIDENTIAL PROPERTIES,3,corrected,"3000 Toringdon Way, Suite 200, Charlotte, NC",NC,389 Interpace Parkway,NJ,NY:3
STATE FARM,3,confirmed,1 State Farm Plaza,IL,,,CA:3
STAR EQUITIES,3,corrected,"44 Wall Street, 14th Floor, New York, NY",NY,420 N Camden Drive Suite 100,CA,CA:3
SUNSHINE TAPE PRODUCTS,3,corrected,"6010 Village Drive NW, Gig Harbor, WA",WA,300 Ansin Blvd,FL,FL:3
